region,winter,chill_hours_2000m,mean_winter_temp_2000m,chill_line_1000h_lapse6.5,chill_line_1200h_lapse6.5,chill_line_1000h_lapse5.0,chill_line_1200h_lapse5.0
Kullu (Himachal),2009-10,2171,2.28,800,1000,800,800
Kullu (Himachal),2010-11,2207,2.79,950,1150,800,900
Kullu (Himachal),2011-12,2286,2.02,800,1000,800,800
Kullu (Himachal),2012-13,2356,1.55,800,1000,800,800
Kullu (Himachal),2013-14,2387,1.28,800,850,800,800
Kullu (Himachal),2014-15,2223,2.21,800,950,800,800
Kullu (Himachal),2015-16,2238,2.38,850,1050,800,800
Kullu (Himachal),2016-17,1908,4.69,1250,1400,1000,1200
Kullu (Himachal),2017-18,2075,2.8,800,1050,800,800
Kullu (Himachal),2018-19,2412,1.38,800,950,800,800
Kullu (Himachal),2019-20,2416,0.95,800,850,800,800
Kullu (Himachal),2020-21,2274,1.54,800,950,800,800
Kullu (Himachal),2021-22,2473,0.84,800,900,800,800
Kullu (Himachal),2022-23,2206,2.19,800,950,800,800
Kullu (Himachal),2023-24,2166,2.83,950,1100,800,800
Kullu (Himachal),2024-25,2062,3.08,850,1100,800,800
Kullu (Himachal),2025-26,1930,4.06,1100,1250,800,1000
"Kotkhai, Shimla (Himachal)",1990-91,1810,5.62,1450,1600,1250,1450
"Kotkhai, Shimla (Himachal)",1991-92,1921,5.23,1400,1550,1250,1400
"Kotkhai, Shimla (Himachal)",1992-93,1747,5.94,1450,1600,1300,1500
"Kotkhai, Shimla (Himachal)",1993-94,1687,6.4,1550,1650,1400,1550
"Kotkhai, Shimla (Himachal)",1994-95,2031,4.36,1250,1400,1000,1250
"Kotkhai, Shimla (Himachal)",1995-96,1951,5.19,1300,1450,1100,1300
"Kotkhai, Shimla (Himachal)",1996-97,1812,5.39,1400,1500,1200,1350
"Kotkhai, Shimla (Himachal)",1997-98,2019,4.63,1300,1450,1100,1300
"Kotkhai, Shimla (Himachal)",1998-99,1568,6.97,1650,1800,1500,1700
"Kotkhai, Shimla (Himachal)",1999-00,1864,5.4,1400,1550,1200,1400
"Kotkhai, Shimla (Himachal)",2000-01,1529,7.06,1600,1800,1500,1700
"Kotkhai, Shimla (Himachal)",2001-02,1857,5.47,1400,1550,1200,1400
"Kotkhai, Shimla (Himachal)",2002-03,1696,6.41,1550,1700,1400,1600
"Kotkhai, Shimla (Himachal)",2003-04,1770,5.88,1450,1600,1300,1450
"Kotkhai, Shimla (Himachal)",2004-05,1972,5.14,1400,1500,1200,1350
"Kotkhai, Shimla (Himachal)",2005-06,1509,7.37,1650,1800,1550,1700
"Kotkhai, Shimla (Himachal)",2006-07,1630,6.63,1550,1750,1400,1650
"Kotkhai, Shimla (Himachal)",2007-08,1887,5.11,1300,1450,1100,1300
"Kotkhai, Shimla (Himachal)",2008-09,1248,8.46,1850,2000,1800,2000
"Kotkhai, Shimla (Himachal)",2009-10,1553,6.9,1600,1750,1500,1700
"Kotkhai, Shimla (Himachal)",2010-11,1737,5.96,1500,1650,1300,1500
"Kotkhai, Shimla (Himachal)",2011-12,1829,5.35,1300,1450,1100,1300
"Kotkhai, Shimla (Himachal)",2012-13,1948,4.99,1350,1500,1150,1300
"Kotkhai, Shimla (Himachal)",2013-14,1984,4.94,1350,1450,1100,1300
"Kotkhai, Shimla (Himachal)",2014-15,1699,6.21,1500,1650,1350,1550
"Kotkhai, Shimla (Himachal)",2015-16,1567,6.73,1600,1800,1500,1700
"Kotkhai, Shimla (Himachal)",2016-17,1368,7.67,1800,1950,1700,1900
"Kotkhai, Shimla (Himachal)",2017-18,1490,7.37,1700,1850,1600,1800
"Kotkhai, Shimla (Himachal)",2018-19,2034,4.51,1250,1400,1000,1200
"Kotkhai, Shimla (Himachal)",2019-20,1964,4.68,1250,1400,1000,1200
"Kotkhai, Shimla (Himachal)",2020-21,1680,6.26,1500,1650,1350,1550
"Kotkhai, Shimla (Himachal)",2021-22,2065,4.35,1200,1350,900,1150
"Kotkhai, Shimla (Himachal)",2022-23,1637,6.69,1550,1650,1400,1550
"Kotkhai, Shimla (Himachal)",2023-24,1702,6.27,1500,1650,1350,1550
"Kotkhai, Shimla (Himachal)",2024-25,1552,7.03,1600,1750,1500,1650
"Kotkhai, Shimla (Himachal)",2025-26,1460,7.54,1750,1850,1650,1800
Kinnaur (Himachal),1990-91,2406,-0.75,800,800,800,800
Kinnaur (Himachal),1991-92,2250,0.64,800,800,800,800
Kinnaur (Himachal),1992-93,2291,0.79,800,800,800,800
Kinnaur (Himachal),1993-94,2643,-1.92,800,800,800,800
Kinnaur (Himachal),1994-95,2351,-1.07,800,800,800,800
Kinnaur (Himachal),1995-96,2813,-3.49,800,800,800,800
Kinnaur (Himachal),1996-97,2497,-2.55,800,800,800,800
Kinnaur (Himachal),1997-98,2874,-4.12,800,800,800,800
Kinnaur (Himachal),1998-99,2773,-1.62,800,800,800,800
Kinnaur (Himachal),1999-00,2019,2.04,800,1000,800,800
Kinnaur (Himachal),2000-01,2471,-1.92,800,800,800,800
Kinnaur (Himachal),2001-02,2424,-1.25,800,800,800,800
Kinnaur (Himachal),2002-03,2230,0.88,800,900,800,800
Kinnaur (Himachal),2003-04,2601,-2.71,800,800,800,800
Kinnaur (Himachal),2004-05,2608,-1.09,800,800,800,800
Kinnaur (Himachal),2005-06,2226,1.95,850,1050,800,800
Kinnaur (Himachal),2006-07,2524,-1.95,800,800,800,800
Kinnaur (Himachal),2007-08,2343,0.24,800,800,800,800
Kinnaur (Himachal),2008-09,2323,0.02,800,800,800,800
Kinnaur (Himachal),2009-10,2643,-3.32,800,800,800,800
Kinnaur (Himachal),2010-11,2723,-2.68,800,800,800,800
Kinnaur (Himachal),2011-12,2170,1.16,800,850,800,800
Kinnaur (Himachal),2012-13,2512,-2.31,800,800,800,800
Kinnaur (Himachal),2013-14,2731,-3.43,800,800,800,800
Kinnaur (Himachal),2014-15,2347,-0.69,800,800,800,800
Kinnaur (Himachal),2015-16,2597,-2.34,800,800,800,800
Kinnaur (Himachal),2016-17,1728,4.12,1150,1350,850,1150
Kinnaur (Himachal),2017-18,2580,-2.0,800,800,800,800
Kinnaur (Himachal),2018-19,2825,-3.7,800,800,800,800
Kinnaur (Himachal),2019-20,2719,-4.08,800,800,800,800
Kinnaur (Himachal),2020-21,2557,-2.74,800,800,800,800
Kinnaur (Himachal),2021-22,2770,-4.19,800,800,800,800
Kinnaur (Himachal),2022-23,2569,-1.58,800,800,800,800
Kinnaur (Himachal),2023-24,2208,1.28,800,850,800,800
Kinnaur (Himachal),2024-25,2162,1.49,800,900,800,800
Kinnaur (Himachal),2025-26,2068,2.14,800,1050,800,800
Harsil (Uttarakhand),1990-91,2295,2.82,1050,1200,800,950
Harsil (Uttarakhand),1991-92,2066,4.08,1250,1400,1000,1200
Harsil (Uttarakhand),1992-93,2016,4.19,1250,1400,1000,1200
Harsil (Uttarakhand),1993-94,2048,4.16,1200,1350,950,1100
Harsil (Uttarakhand),1994-95,2129,3.14,1000,1150,800,900
Harsil (Uttarakhand),1995-96,2524,1.91,1050,1150,800,900
Harsil (Uttarakhand),1996-97,2128,3.27,1000,1200,800,900
Harsil (Uttarakhand),1997-98,2720,1.45,950,1100,800,800
Harsil (Uttarakhand),1998-99,2079,4.25,1300,1400,1050,1200
Harsil (Uttarakhand),1999-00,1932,4.47,1200,1400,1000,1200
Harsil (Uttarakhand),2000-01,2051,3.77,1200,1350,950,1150
Harsil (Uttarakhand),2001-02,2161,3.63,1150,1250,850,1050
Harsil (Uttarakhand),2002-03,1923,4.68,1350,1500,1150,1300
Harsil (Uttarakhand),2003-04,2287,2.9,1100,1200,800,950
Harsil (Uttarakhand),2004-05,2288,3.26,1200,1250,900,1050
Harsil (Uttarakhand),2005-06,1916,5.0,1450,1600,1300,1450
Harsil (Uttarakhand),2006-07,2280,3.2,1200,1350,950,1100
Harsil (Uttarakhand),2007-08,2223,3.7,1150,1300,900,1100
Harsil (Uttarakhand),2008-09,1778,5.34,1400,1550,1250,1400
Harsil (Uttarakhand),2009-10,2218,3.04,1100,1250,800,1000
Harsil (Uttarakhand),2010-11,2302,3.15,1050,1200,800,900
Harsil (Uttarakhand),2011-12,1941,4.28,1100,1300,800,1050
Harsil (Uttarakhand),2012-13,2387,2.58,1100,1250,800,1000
Harsil (Uttarakhand),2013-14,2438,2.0,950,1150,800,850
Harsil (Uttarakhand),2014-15,1995,4.34,1300,1400,1050,1250
Harsil (Uttarakhand),2015-16,2210,3.38,1150,1300,900,1100
Harsil (Uttarakhand),2016-17,1464,6.86,1600,1800,1500,1700
Harsil (Uttarakhand),2017-18,2132,3.7,1200,1350,1000,1150
Harsil (Uttarakhand),2018-19,2453,2.29,1050,1200,800,900
Harsil (Uttarakhand),2019-20,2416,2.03,950,1050,800,800
Harsil (Uttarakhand),2020-21,2136,3.75,1250,1400,1000,1250
Harsil (Uttarakhand),2021-22,2413,2.17,950,1100,800,800
Harsil (Uttarakhand),2022-23,2171,3.71,1250,1350,1000,1150
Harsil (Uttarakhand),2023-24,2036,3.76,1150,1300,900,1050
Harsil (Uttarakhand),2024-25,1872,5.45,1450,1550,1250,1400
Harsil (Uttarakhand),2025-26,1587,6.2,1500,1700,1350,1600
Mukteshwar (Uttarakhand),1990-91,1053,9.48,2000,2150,2000,2150
Mukteshwar (Uttarakhand),1991-92,1218,8.53,1900,2000,1900,2000
Mukteshwar (Uttarakhand),1992-93,1018,9.27,2000,2150,2000,2200
Mukteshwar (Uttarakhand),1993-94,917,9.74,2100,2200,2100,2250
Mukteshwar (Uttarakhand),1994-95,1228,8.26,1900,2000,1850,2000
Mukteshwar (Uttarakhand),1995-96,1231,8.87,1900,2000,1850,2000
Mukteshwar (Uttarakhand),1996-97,1182,8.92,1900,2050,1850,2050
Mukteshwar (Uttarakhand),1997-98,1410,7.85,1800,1900,1700,1850
Mukteshwar (Uttarakhand),1998-99,843,10.19,2150,2250,2150,2300
Mukteshwar (Uttarakhand),1999-00,1245,8.61,1850,2000,1800,2000
Mukteshwar (Uttarakhand),2000-01,933,9.82,2050,2200,2100,2200
Mukteshwar (Uttarakhand),2001-02,1137,9.02,1950,2050,1900,2100
Mukteshwar (Uttarakhand),2002-03,1047,9.23,2000,2100,2000,2150
Mukteshwar (Uttarakhand),2003-04,1124,9.13,2000,2100,1950,2100
Mukteshwar (Uttarakhand),2004-05,1190,8.59,1950,2050,1900,2050
Mukteshwar (Uttarakhand),2005-06,721,10.86,2200,2300,2250,2400
Mukteshwar (Uttarakhand),2006-07,968,9.58,2050,2150,2050,2200
Mukteshwar (Uttarakhand),2007-08,1111,8.93,1950,2100,1950,2100
Mukteshwar (Uttarakhand),2008-09,505,11.47,2350,2450,2400,2600
Mukteshwar (Uttarakhand),2009-10,862,10.02,2100,2250,2150,2300
Mukteshwar (Uttarakhand),2010-11,1073,9.33,2000,2150,1950,2200
Mukteshwar (Uttarakhand),2011-12,1076,8.96,1950,2150,1950,2150
Mukteshwar (Uttarakhand),2012-13,1178,8.83,1950,2050,1900,2050
Mukteshwar (Uttarakhand),2013-14,1251,8.49,1900,2000,1850,2000
Mukteshwar (Uttarakhand),2014-15,1074,9.21,2000,2150,1950,2150
Mukteshwar (Uttarakhand),2015-16,898,9.75,2100,2250,2100,2300
Mukteshwar (Uttarakhand),2016-17,748,10.41,2200,2300,2250,2400
Mukteshwar (Uttarakhand),2017-18,855,10.13,2150,2300,2150,2350
Mukteshwar (Uttarakhand),2018-19,1190,8.44,1900,2050,1850,2050
Mukteshwar (Uttarakhand),2019-20,1215,8.67,1850,2000,1800,2000
Mukteshwar (Uttarakhand),2020-21,852,10.12,2150,2250,2150,2300
Mukteshwar (Uttarakhand),2021-22,1280,8.35,1800,1950,1750,1950
Mukteshwar (Uttarakhand),2022-23,793,10.34,2150,2300,2200,2350
Mukteshwar (Uttarakhand),2023-24,1062,9.27,2000,2100,2000,2150
Mukteshwar (Uttarakhand),2024-25,877,10.19,2100,2250,2150,2300
Mukteshwar (Uttarakhand),2025-26,892,10.13,2100,2200,2100,2300
Jumla (Nepal),1990-91,1418,7.08,1600,1800,1500,1750
Jumla (Nepal),1991-92,1469,6.54,1700,1800,1600,1750
Jumla (Nepal),1992-93,1368,7.57,1750,1900,1700,1850
Jumla (Nepal),1993-94,1072,8.39,1950,2150,1900,2200
Jumla (Nepal),1994-95,1423,6.83,1700,1850,1600,1800
Jumla (Nepal),1995-96,1467,7.07,1750,1850,1650,1800
Jumla (Nepal),1996-97,1388,7.58,1800,1900,1700,1900
Jumla (Nepal),1997-98,1742,4.76,1350,1550,1100,1400
Jumla (Nepal),1998-99,1216,8.44,1850,2000,1800,2000
Jumla (Nepal),1999-00,1181,7.98,1900,2050,1850,2050
Jumla (Nepal),2000-01,1143,8.33,1850,2100,1800,2100
Jumla (Nepal),2001-02,1162,8.23,1850,2050,1800,2100
Jumla (Nepal),2002-03,1378,6.9,1700,1900,1600,1850
Jumla (Nepal),2003-04,1113,7.86,1950,2100,1900,2100
Jumla (Nepal),2004-05,1465,7.21,1700,1800,1600,1750
Jumla (Nepal),2005-06,778,10.24,2200,2400,2300,2500
Jumla (Nepal),2006-07,982,9.41,2050,2200,2050,2250
Jumla (Nepal),2007-08,1346,7.4,1750,1900,1650,1850
Jumla (Nepal),2008-09,669,11.47,2350,2550,2450,2700
Jumla (Nepal),2009-10,1166,9.07,1900,2050,1850,2050
Jumla (Nepal),2010-11,1266,7.76,1800,1950,1700,1950
Jumla (Nepal),2011-12,1092,8.27,1950,2150,1900,2150
Jumla (Nepal),2012-13,1291,7.58,1800,1950,1700,1950
Jumla (Nepal),2013-14,1320,7.77,1800,1950,1750,1900
Jumla (Nepal),2014-15,1344,7.17,1750,1950,1650,1900
Jumla (Nepal),2015-16,941,9.64,2100,2300,2100,2350
Jumla (Nepal),2016-17,879,9.78,2150,2300,2150,2350
Jumla (Nepal),2017-18,970,10.09,2050,2250,2050,2300
Jumla (Nepal),2018-19,1417,7.04,1700,1800,1600,1750
Jumla (Nepal),2019-20,1602,6.25,1500,1700,1300,1600
Jumla (Nepal),2020-21,1073,9.54,2000,2150,1950,2200
Jumla (Nepal),2021-22,1582,6.07,1500,1700,1350,1600
Jumla (Nepal),2022-23,915,9.98,2100,2200,2100,2300
Jumla (Nepal),2023-24,1187,8.48,1850,2050,1800,2050
Jumla (Nepal),2024-25,845,10.22,2150,2350,2200,2450
Jumla (Nepal),2025-26,1012,9.8,2000,2200,2000,2250
